state,year,month,unemployment_rate
Arizona,2022,4,3.4
Arizona,2022,5,3.6
Arizona,2022,6,4.2
Arizona,2022,7,4.2
Arizona,2022,8,4.3
Arizona,2022,9,3.9
Arizona,2022,10,3.8
Arizona,2022,11,3.5
Arizona,2022,12,3.3
Arizona,2023,1,3.5
Arizona,2023,2,3.5
Arizona,2023,3,3.4
Arizona,2023,4,3.3
Arizona,2023,5,3.7
Arizona,2023,6,4.1
Arizona,2023,7,4.2
Arizona,2023,8,4.2
Arizona,2023,9,3.9
Arizona,2023,10,3.8
Arizona,2023,11,3.4
Arizona,2023,12,3.2
Arizona,2024,1,3.4
Arizona,2024,2,3.3
Arizona,2024,3,3.0
Arizona,2024,4,2.9
Arizona,2024,5,3.3
Arizona,2024,6,4.0
Arizona,2024,7,4.3
Arizona,2024,8,4.2
Arizona,2024,9,3.8
Arizona,2024,10,3.8
Arizona,2024,11,3.7
Arizona,2024,12,3.5
Arizona,2025,1,3.9
Arizona,2025,2,3.9
Arizona,2025,3,4.0
Arizona,2025,4,3.5
Arizona,2025,5,4.1
Arizona,2025,6,4.5
Arizona,2025,7,4.7
Arizona,2025,8,4.8
Arizona,2025,9,4.7
Arizona,2025,10,4.5
Arizona,2025,11,4.3
Arizona,2025,12,4.0
Arkansas,2016,1,4.7
Arkansas,2016,2,4.6
Arkansas,2016,3,4.1
Arkansas,2016,4,3.6
Arkansas,2016,5,3.7
Arkansas,2016,6,4.3
Arkansas,2016,7,4.4
Arkansas,2016,8,4.0
Arkansas,2016,9,3.8
Arkansas,2016,10,3.4
Arkansas,2016,11,3.4
Arkansas,2016,12,3.7
Arkansas,2017,1,4.4
Arkansas,2017,2,4.3
Arkansas,2017,3,3.7
Arkansas,2017,4,3.3
Arkansas,2017,5,3.5
Arkansas,2017,6,4.0
Arkansas,2017,7,4.2
Arkansas,2017,8,3.9
Arkansas,2017,9,3.5
Arkansas,2017,10,3.2
Arkansas,2017,11,3.3
Arkansas,2017,12,3.6
Arkansas,2018,1,4.4
Arkansas,2018,2,4.2
Arkansas,2018,3,3.8
Arkansas,2018,4,3.4
Arkansas,2018,5,3.3
Arkansas,2018,6,4.0
Arkansas,2018,7,4.0
Arkansas,2018,8,3.5
Arkansas,2018,9,3.3
Arkansas,2018,10,3.1
Arkansas,2018,11,3.1
Arkansas,2018,12,3.5
Arkansas,2019,1,4.4
Arkansas,2019,2,4.0
Arkansas,2019,3,3.5
Arkansas,2019,4,3.0
Arkansas,2019,5,3.2
Arkansas,2019,6,3.8
Arkansas,2019,7,4.1
Arkansas,2019,8,3.5
Arkansas,2019,9,3.2
Arkansas,2019,10,2.9
Arkansas,2019,11,3.0
Arkansas,2019,12,3.3
Arkansas,2020,1,4.0
Arkansas,2020,2,3.7
Arkansas,2020,3,5.3
Arkansas,2020,4,9.6
Arkansas,2020,5,8.8
Arkansas,2020,6,8.2
Arkansas,2020,7,8.1
Arkansas,2020,8,6.3
Arkansas,2020,9,5.7
Arkansas,2020,10,4.6
Arkansas,2020,11,4.5
Arkansas,2020,12,4.8
Arkansas,2021,1,5.4
Arkansas,2021,2,5.3
Arkansas,2021,3,4.7
Arkansas,2021,4,4.3
Arkansas,2021,5,4.2
Arkansas,2021,6,4.8
Arkansas,2021,7,4.5
Arkansas,2021,8,3.8
Arkansas,2021,9,3.2
Arkansas,2021,10,2.7
Arkansas,2021,11,2.6
Arkansas,2021,12,2.8
Arkansas,2022,1,3.8
Arkansas,2022,2,3.6
Arkansas,2022,3,3.1
Arkansas,2022,4,2.9
Arkansas,2022,5,3.0
Arkansas,2022,6,3.6
Arkansas,2022,7,3.7
Arkansas,2022,8,3.4
Arkansas,2022,9,3.0
Arkansas,2022,10,2.6
Arkansas,2022,11,2.6
Arkansas,2022,12,2.7
Arkansas,2023,1,3.4
Arkansas,2023,2,3.2
Arkansas,2023,3,2.9
Arkansas,2023,4,2.5
Arkansas,2023,5,2.8
Arkansas,2023,6,3.4
Arkansas,2023,7,3.6
Arkansas,2023,8,3.5
Arkansas,2023,9,3.3
Arkansas,2023,10,3.0
Arkansas,2023,11,3.0
Arkansas,2023,12,3.2
Arkansas,2024,1,3.8
Arkansas,2024,2,3.8
Arkansas,2024,3,3.4
Arkansas,2024,4,3.0
Arkansas,2024,5,3.2
Arkansas,2024,6,3.8
Arkansas,2024,7,4.0
Arkansas,2024,8,3.6
Arkansas,2024,9,3.2
Arkansas,2024,10,3.1
Arkansas,2024,11,3.3
Arkansas,2024,12,3.4
Arkansas,2025,1,3.9
Arkansas,2025,2,4.2
Arkansas,2025,3,3.7
Arkansas,2025,4,3.2
Arkansas,2025,5,3.5
Arkansas,2025,6,4.2
Arkansas,2025,7,4.3
Arkansas,2025,8,4.1
Arkansas,2025,9,4.2
Arkansas,2025,10,4.2
Arkansas,2025,11,4.2
Arkansas,2025,12,4.2
California,2016,1,6.0
California,2016,2,5.8
California,2016,3,5.8
California,2016,4,5.4
California,2016,5,4.9
California,2016,6,5.7
California,2016,7,5.8
California,2016,8,5.7
California,2016,9,5.4
California,2016,10,5.4
California,2016,11,5.1
California,2016,12,5.2
California,2017,1,5.7
California,2017,2,5.4
California,2017,3,5.1
California,2017,4,4.7
California,2017,5,4.4
California,2017,6,4.9
California,2017,7,5.2
California,2017,8,5.1
California,2017,9,4.5
California,2017,10,4.3
California,2017,11,4.3
California,2017,12,4.3
California,2018,1,4.8
California,2018,2,4.6
California,2018,3,4.5
California,2018,4,4.1
California,2018,5,3.7
California,2018,6,4.4
California,2018,7,4.4
California,2018,8,4.4
California,2018,9,4.0
California,2018,10,4.0
California,2018,11,4.0
California,2018,12,4.2
California,2019,1,4.9
California,2019,2,4.4
California,2019,3,4.5
California,2019,4,3.8
California,2019,5,3.6
California,2019,6,4.2
California,2019,7,4.4
California,2019,8,4.2
California,2019,9,3.7
California,2019,10,3.8
California,2019,11,3.8
California,2019,12,3.9
California,2020,1,4.5
California,2020,2,4.3
California,2020,3,6.3
California,2020,4,15.7
California,2020,5,15.6
California,2020,6,13.9
California,2020,7,13.6
California,2020,8,11.8
California,2020,9,9.9
California,2020,10,8.8
California,2020,11,8.7
California,2020,12,8.9
California,2021,1,9.1
California,2021,2,8.8
California,2021,3,8.5
California,2021,4,8.3
California,2021,5,7.6
California,2021,6,8.2
California,2021,7,7.7
California,2021,8,7.3
California,2021,9,6.3
California,2021,10,5.9
California,2021,11,5.4
California,2021,12,5.0
California,2022,1,5.6
California,2022,2,5.0
California,2022,3,4.5
California,2022,4,4.0
California,2022,5,3.7
California,2022,6,4.2
California,2022,7,4.1
California,2022,8,4.2
California,2022,9,3.8
California,2022,10,4.0
California,2022,11,4.1
California,2022,12,4.0
California,2023,1,4.7
California,2023,2,4.8
California,2023,3,4.7
California,2023,4,4.1
California,2023,5,4.3
California,2023,6,4.7
California,2023,7,4.8
California,2023,8,5.1
California,2023,9,4.8
California,2023,10,4.9
California,2023,11,4.8
California,2023,12,4.9
California,2024,1,5.4
California,2024,2,5.4
California,2024,3,5.2
California,2024,4,4.8
California,2024,5,4.7
California,2024,6,5.4
California,2024,7,5.9
California,2024,8,5.9
California,2024,9,5.2
California,2024,10,5.3
California,2024,11,5.4
California,2024,12,5.2
California,2025,1,5.5
California,2025,2,5.5
California,2025,3,5.3
California,2025,4,5.0
California,2025,5,5.0
California,2025,6,5.8
California,2025,7,6.1
California,2025,8,5.8
California,2025,9,5.6
California,2025,10,5.5
California,2025,11,5.4
California,2025,12,5.1
Colorado,2016,1,3.5
Colorado,2016,2,3.7
Colorado,2016,3,3.5
Colorado,2016,4,3.2
Colorado,2016,5,3.1
Colorado,2016,6,3.4
Colorado,2016,7,3.3
Colorado,2016,8,3.1
Colorado,2016,9,2.8
Colorado,2016,10,2.7
Colorado,2016,11,2.6
Colorado,2016,12,2.5
Colorado,2017,1,3.0
Colorado,2017,2,2.9
Colorado,2017,3,2.3
Colorado,2017,4,2.2
Colorado,2017,5,2.3
Colorado,2017,6,2.7
Colorado,2017,7,2.7
Colorado,2017,8,2.7
Colorado,2017,9,2.5
Colorado,2017,10,2.6
Colorado,2017,11,2.7
Colorado,2017,12,2.7
Colorado,2018,1,3.1
Colorado,2018,2,3.3
Colorado,2018,3,3.0
Colorado,2018,4,2.8
Colorado,2018,5,2.8
Colorado,2018,6,3.3
Colorado,2018,7,3.4
Colorado,2018,8,3.2
Colorado,2018,9,2.9
Colorado,2018,10,2.9
Colorado,2018,11,2.9
Colorado,2018,12,3.0
Colorado,2019,1,3.3
Colorado,2019,2,3.1
Colorado,2019,3,2.8
Colorado,2019,4,2.4
Colorado,2019,5,2.4
Colorado,2019,6,2.7
Colorado,2019,7,2.7
Colorado,2019,8,2.6
Colorado,2019,9,2.4
Colorado,2019,10,2.5
Colorado,2019,11,2.5
Colorado,2019,12,2.6
Colorado,2020,1,3.1
Colorado,2020,2,3.3
Colorado,2020,3,3.9
Colorado,2020,4,10.9
Colorado,2020,5,11.8
Colorado,2020,6,11.3
Colorado,2020,7,6.8
Colorado,2020,8,6.0
Colorado,2020,9,6.2
Colorado,2020,10,5.9
Colorado,2020,11,6.1
Colorado,2020,12,6.4
Colorado,2021,1,6.6
Colorado,2021,2,6.3
Colorado,2021,3,6.2
Colorado,2021,4,6.1
Colorado,2021,5,5.8
Colorado,2021,6,6.3
Colorado,2021,7,5.8
Colorado,2021,8,5.4
Colorado,2021,9,4.8
Colorado,2021,10,4.7
Colorado,2021,11,4.1
Colorado,2021,12,3.9
Colorado,2022,1,4.2
Colorado,2022,2,4.0
Colorado,2022,3,3.4
Colorado,2022,4,2.9
Colorado,2022,5,2.8
Colorado,2022,6,3.0
Colorado,2022,7,3.0
Colorado,2022,8,2.9
Colorado,2022,9,2.6
Colorado,2022,10,2.8
Colorado,2022,11,2.9
Colorado,2022,12,2.7
Colorado,2023,1,3.2
Colorado,2023,2,3.4
Colorado,2023,3,3.0
Colorado,2023,4,2.7
Colorado,2023,5,3.1
Colorado,2023,6,3.6
Colorado,2023,7,3.4
Colorado,2023,8,3.5
Colorado,2023,9,3.3
Colorado,2023,10,3.4
Colorado,2023,11,3.5
Colorado,2023,12,3.7
Colorado,2024,1,4.1
Colorado,2024,2,4.2
Colorado,2024,3,3.8
Colorado,2024,4,3.7
Colorado,2024,5,3.9
Colorado,2024,6,4.4
Colorado,2024,7,4.6
Colorado,2024,8,4.6
Colorado,2024,9,4.3
Colorado,2024,10,4.4
Colorado,2024,11,4.7
Colorado,2024,12,4.5
Colorado,2025,1,5.0
Colorado,2025,2,5.2
Colorado,2025,3,4.6
Colorado,2025,4,4.6
Colorado,2025,5,4.5
Colorado,2025,6,4.5
Colorado,2025,7,3.9
Colorado,2025,8,3.7
Colorado,2025,9,3.9
Colorado,2025,10,3.75
Colorado,2025,11,3.6
Colorado,2025,12,3.6
Connecticut,2016,1,5.7
Connecticut,2016,2,5.7
Connecticut,2016,3,5.4
Connecticut,2016,4,4.8
Connecticut,2016,5,4.8
Connecticut,2016,6,5.0
Connecticut,2016,7,5.1
Connecticut,2016,8,4.9
Connecticut,2016,9,4.5
Connecticut,2016,10,4.4
Connecticut,2016,11,3.9
Connecticut,2016,12,4.0
Connecticut,2017,1,5.2
Connecticut,2017,2,5.2
Connecticut,2017,3,4.7
Connecticut,2017,4,4.3
Connecticut,2017,5,4.4
Connecticut,2017,6,4.4
Connecticut,2017,7,4.7
Connecticut,2017,8,4.5
Connecticut,2017,9,4.0
Connecticut,2017,10,4.0
Connecticut,2017,11,3.8
Connecticut,2017,12,3.7
Connecticut,2018,1,4.8
Connecticut,2018,2,4.8
Connecticut,2018,3,4.3
Connecticut,2018,4,3.8
Connecticut,2018,5,3.8
Connecticut,2018,6,4.0
Connecticut,2018,7,4.2
Connecticut,2018,8,3.9
Connecticut,2018,9,3.4
Connecticut,2018,10,3.4
Connecticut,2018,11,3.0
Connecticut,2018,12,3.2
Connecticut,2019,1,4.4
Connecticut,2019,2,4.1
Connecticut,2019,3,3.9
Connecticut,2019,4,3.1
Connecticut,2019,5,3.5
Connecticut,2019,6,3.5
Connecticut,2019,7,3.9
Connecticut,2019,8,3.7
Connecticut,2019,9,3.3
Connecticut,2019,10,3.3
Connecticut,2019,11,3.1
Connecticut,2019,12,3.1
Connecticut,2020,1,4.3
Connecticut,2020,2,4.2
Connecticut,2020,3,4.7
Connecticut,2020,4,7.8
Connecticut,2020,5,12.1
Connecticut,2020,6,11.4
Connecticut,2020,7,12.1
Connecticut,2020,8,9.4
Connecticut,2020,9,8.5
Connecticut,2020,10,7.4
Connecticut,2020,11,7.0
Connecticut,2020,12,6.9
Connecticut,2021,1,7.8
Connecticut,2021,2,7.9
Connecticut,2021,3,7.4
Connecticut,2021,4,7.0
Connecticut,2021,5,7.0
Connecticut,2021,6,7.1
Connecticut,2021,7,7.0
Connecticut,2021,8,6.4
Connecticut,2021,9,5.6
Connecticut,2021,10,5.4
Connecticut,2021,11,4.7
Connecticut,2021,12,4.4
Connecticut,2022,1,5.4
Connecticut,2022,2,5.2
Connecticut,2022,3,4.5
Connecticut,2022,4,4.0
Connecticut,2022,5,4.2
Connecticut,2022,6,4.1
Connecticut,2022,7,4.2
Connecticut,2022,8,4.0
Connecticut,2022,9,3.4
Connecticut,2022,10,3.5
Connecticut,2022,11,3.2
Connecticut,2022,12,2.9
Connecticut,2023,1,3.9
Connecticut,2023,2,4.0
Connecticut,2023,3,3.4
Connecticut,2023,4,2.6
Connecticut,2023,5,3.1
Connecticut,2023,6,3.1
Connecticut,2023,7,3.3
Connecticut,2023,8,3.3
Connecticut,2023,9,2.9
Connecticut,2023,10,3.1
Connecticut,2023,11,2.9
Connecticut,2023,12,2.9
Connecticut,2024,1,3.7
Connecticut,2024,2,3.8
Connecticut,2024,3,3.3
Connecticut,2024,4,2.7
Connecticut,2024,5,3.1
Connecticut,2024,6,3.0
Connecticut,2024,7,3.6
Connecticut,2024,8,3.4
Connecticut,2024,9,2.8
Connecticut,2024,10,2.9
Connecticut,2024,11,2.9
Connecticut,2024,12,2.7
Connecticut,2025,1,4.0
Connecticut,2025,2,4.5
Connecticut,2025,3,4.1
Connecticut,2025,4,3.4
Connecticut,2025,5,3.9
Connecticut,2025,6,3.4
Connecticut,2025,7,4.2
Connecticut,2025,8,3.8
Connecticut,2025,9,3.8
Connecticut,2025,10,4.0
Connecticut,2025,11,4.2
Connecticut,2025,12,4.1
Delaware,2016,1,4.9
Delaware,2016,2,4.7
Delaware,2016,3,4.7
Delaware,2016,4,4.3
Delaware,2016,5,4.1
Delaware,2016,6,4.8
Delaware,2016,7,4.8
Delaware,2016,8,4.7
Delaware,2016,9,4.5
Delaware,2016,10,4.5
Delaware,2016,11,4.0
Delaware,2016,12,4.2
Delaware,2017,1,5.1
Delaware,2017,2,5.0
Delaware,2017,3,4.7
Delaware,2017,4,4.3
Delaware,2017,5,4.1
Delaware,2017,6,4.7
Delaware,2017,7,4.7
Delaware,2017,8,4.7
Delaware,2017,9,4.1
Delaware,2017,10,4.0
Delaware,2017,11,3.8
Delaware,2017,12,3.8
Delaware,2018,1,4.5
Delaware,2018,2,4.3
Delaware,2018,3,4.1
Delaware,2018,4,3.7
Delaware,2018,5,3.3
Delaware,2018,6,4.1
Delaware,2018,7,3.9
Delaware,2018,8,3.8
Delaware,2018,9,3.3
Delaware,2018,10,3.2
Delaware,2018,11,2.9
Delaware,2018,12,3.1
Delaware,2019,1,4.1
Delaware,2019,2,3.8
Delaware,2019,3,3.7
Delaware,2019,4,3.3
Delaware,2019,5,3.2
Delaware,2019,6,3.8
Delaware,2019,7,4.0
Delaware,2019,8,4.0
Delaware,2019,9,3.4
Delaware,2019,10,3.4
Delaware,2019,11,3.1
Delaware,2019,12,3.1
Delaware,2020,1,3.9
Delaware,2020,2,3.6
Delaware,2020,3,5.6
Delaware,2020,4,12.7
Delaware,2020,5,13.4
Delaware,2020,6,12.9
Delaware,2020,7,8.0
Delaware,2020,8,7.4
Delaware,2020,9,7.7
Delaware,2020,10,4.8
Delaware,2020,11,4.7
Delaware,2020,12,5.2
Delaware,2021,1,6.2
Delaware,2021,2,6.2
Delaware,2021,3,6.1
Delaware,2021,4,5.9
Delaware,2021,5,5.4
Delaware,2021,6,6.2
Delaware,2021,7,5.9
Delaware,2021,8,5.6
Delaware,2021,9,4.9
Delaware,2021,10,4.7
Delaware,2021,11,4.2
Delaware,2021,12,4.0
Delaware,2022,1,5.1
Delaware,2022,2,4.7
Delaware,2022,3,4.4
Delaware,2022,4,4.1
Delaware,2022,5,3.9
Delaware,2022,6,4.5
Delaware,2022,7,4.3
Delaware,2022,8,4.4
Delaware,2022,9,3.8
Delaware,2022,10,4.0
Delaware,2022,11,3.7
Delaware,2022,12,3.5
Delaware,2023,1,4.2
Delaware,2023,2,4.2
Delaware,2023,3,4.0
Delaware,2023,4,3.5
Delaware,2023,5,3.6
Delaware,2023,6,4.1
Delaware,2023,7,3.9
Delaware,2023,8,4.2
Delaware,2023,9,3.7
Delaware,2023,10,3.8
Delaware,2023,11,3.4
Delaware,2023,12,3.4
Delaware,2024,1,4.0
Delaware,2024,2,4.0
Delaware,2024,3,3.8
Delaware,2024,4,3.5
Delaware,2024,5,3.4
Delaware,2024,6,4.1
Delaware,2024,7,4.2
Delaware,2024,8,4.1
Delaware,2024,9,3.4
Delaware,2024,10,3.4
Delaware,2024,11,3.2
Delaware,2024,12,3.1
Delaware,2025,1,4.0
Delaware,2025,2,4.1
Delaware,2025,3,4.1
Delaware,2025,4,3.9
Delaware,2025,5,3.8
Delaware,2025,6,4.5
Delaware,2025,7,4.7
Delaware,2025,8,5.2
Delaware,2025,9,5.0
Delaware,2025,10,5.2
Delaware,2025,11,5.4
Delaware,2025,12,5.1
Florida,2016,1,5.1
Florida,2016,2,4.8
Florida,2016,3,4.8
Florida,2016,4,4.7
Florida,2016,5,4.6
Florida,2016,6,5.1
Florida,2016,7,5.2
Florida,2016,8,5.1
Florida,2016,9,5.1
Florida,2016,10,5.0
Florida,2016,11,4.7
Florida,2016,12,4.5
Florida,2017,1,4.9
Florida,2017,2,4.5
Florida,2017,3,4.3
Florida,2017,4,4.0
Florida,2017,5,4.1
Florida,2017,6,4.4
Florida,2017,7,4.5
Florida,2017,8,4.5
Florida,2017,9,4.2
Florida,2017,10,4.0
Florida,2017,11,4.0
Florida,2017,12,3.8
Florida,2018,1,4.1
Florida,2018,2,3.8
Florida,2018,3,3.7
Florida,2018,4,3.5
Florida,2018,5,3.4
Florida,2018,6,3.9
Florida,2018,7,3.9
Florida,2018,8,3.8
Florida,2018,9,3.5
Florida,2018,10,3.5
Florida,2018,11,3.4
Florida,2018,12,3.3
Florida,2019,1,3.7
Florida,2019,2,3.3
Florida,2019,3,3.3
Florida,2019,4,3.0
Florida,2019,5,3.1
Florida,2019,6,3.5
Florida,2019,7,3.6
Florida,2019,8,3.5
Florida,2019,9,3.2
Florida,2019,10,3.1
Florida,2019,11,3.0
Florida,2019,12,2.7
Florida,2020,1,3.1
Florida,2020,2,2.8
